연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1341,2016,율곡입구,128.0944635,35.14894679,2021-09-09
1342,2017,율곡입구,128.0944952,35.14884961,2021-09-09
1343,2068,율곡종점,128.0905237,35.14501432,2021-09-09
1344,19007,은빛한보아파트,128.0936708,35.17026753,2021-09-09
1345,19008,은빛한보아파트,128.0931181,35.17038969,2021-09-09
1346,12031,응석사,128.0593485,35.29602632,2021-09-09
1347,12115,응석사,128.0592971,35.29586301,2021-09-09
1348,12110,응석사입구,128.0788633,35.26527311,2021-09-09
1349,12109,응석사입구,128.078897,35.26522173,2021-09-09
1350,12148,응석사입구/대암,128.0799598,35.26550442,2021-09-09
1351,12017,응석사입구/대암,128.0799897,35.26527658,2021-09-09
1352,1099,이곡,128.1804953,35.14860924,2021-09-09
1353,1037,이곡입구,128.168825,35.14621754,2021-09-09
1354,1038,이곡입구,128.1688272,35.146373,2021-09-09
1355,3058,이동,128.1091149,35.12722954,2021-09-09
1356,3036,이동,128.1091262,35.12685314,2021-09-09
1357,25005,이마트,128.0767443,35.19080665,2021-09-09
1358,25006,이마트,128.075937,35.19036768,2021-09-09
1359,7007,이반성교차로,128.3141434,35.15476424,2021-09-09
1360,7008,이반성교차로,128.3138105,35.15419103,2021-09-09
1361,7020,이반성면사무소,128.3263981,35.16858696,2021-09-09
1362,7021,이반성면사무소,128.3264386,35.16837697,2021-09-09
1363,7024,이반성보건소지소,128.3277133,35.17066351,2021-09-09
1364,7022,이반성보건소지소,128.3275492,35.17061269,2021-09-09
1365,7026,이반성초등학교,128.3276632,35.17230889,2021-09-09
1366,7025,이반성초등학교,128.32757,35.17230991,2021-09-09
1367,44017,이현동주민센터,128.0618623,35.19274948,2021-09-09
1368,44018,이현동주민센터,128.0620664,35.1928243,2021-09-09
1369,44011,이현상가,128.0653237,35.19253226,2021-09-09
1370,44012,이현상가,128.06555,35.19241535,2021-09-09
